race_id,id,name,source_name,is_incumbent,party,img_url,color
3038,10204,Dave Garcia-Gomez,DAVE GARCIA-GOMEZ,False,,,#32AB34
3040,9992,Ryan Bent,*RYAN BENT,True,,,#32AB34
3040,10095,Keri Kropke,KERI KROPKE,False,,,#F8BD0E
3043,9902,Jerry Patterson,*JERRY PATTERSON,True,,,#F8BD0E
3043,9957,Long Pham,LONG PHAM,False,,,#C7084D
3043,10121,Tony Bui,TONY BUI,False,,,#32AB34
3045,9855,Michael B Collier,MICHAEL B COLLIER,False,,,#32AB34
3045,9895,Mary Hornbuckle,*MARY HORNBUCKLE,True,,,#F8BD0E
3052,10097,Sal Tinajero,SAL TINAJERO,False,,,#F8BD0E
3052,10335,Mike Gonzalez,MIKE GONZALEZ,False,,,#32AB34
3054,9788,David Crockett,DAVID CROCKETT,False,,,#32AB34
3054,9997,Brett Elliott Franklin,BRETT ELLIOTT FRANKLIN,False,,,#F8BD0E
3054,10369,Samuel Ulloa,SAMUEL ULLOA,False,,,#C7084D
3056,9783,Tina Arias Miller,TINA ARIAS MILLER,False,,,#32AB34
3056,10372,Loretta Sanchez,LORETTA SANCHEZ,False,,,#F8BD0E
3058,10073,Carolyn Inmon,CAROLYN INMON,False,,,#32AB34
3058,10370,Helen Locke,HELEN LOCKE,False,,,#C7084D
3058,10371,Matt Waid,MATT WAID,False,,,#1096bf
3058,10388,Aarti Kaushal,AARTI KAUSHAL,False,,,#F8BD0E
3063,9955,James R. Wright,*JAMES R. WRIGHT,True,,,#F8BD0E
3063,10129,Ryan Dack,RYAN DACK,False,,,#32AB34
3064,9810,"Timothy ""Tim"" Jemal","*TIMOTHY ""TIM"" JEMAL",True,,,#C7084D
3064,10198,Sean Gawne,SEAN GAWNE,False,,,#F8BD0E
3064,10202,Mo Entezampour,MO ENTEZAMPOUR,False,,,#32AB34
3105,9868,Lauren Barnes,LAUREN BARNES,False,,,#32AB34
3105,10022,Gail Lyons,*GAIL LYONS,True,,,#F8BD0E
3112,9815,Jim Reardon,*JIM REARDON,True,,,#F8BD0E
3112,9843,Pamela Braunstein,PAMELA BRAUNSTEIN,False,,,#32AB34
3113,10294,Sue Hill,SUE HILL,False,,,#F8BD0E
3113,10328,Lisa Davis,LISA DAVIS,False,,,#32AB34
3113,10362,Adrienne M. Silva,ADRIENNE M. SILVA,False,,,#C7084D
3115,9891,Krista Castellanos,*KRISTA CASTELLANOS,True,,,#32AB34
3115,9977,Jasmine Funes,JASMINE FUNES,False,,,#F8BD0E
3115,10327,Paul Hebbard,PAUL HEBBARD,False,,,#C7084D
3123,9907,Nicholas Dibs,NICHOLAS DIBS,False,,,#32AB34
3123,9973,Teri Rocco,*TERI ROCCO,True,,,#F8BD0E
3127,10066,Dina Nguyen,*DINA NGUYEN,True,,,#F8BD0E
3127,10142,Patrick Cahill,PATRICK CAHILL,False,,,#32AB34
3127,10309,Samantha Bao Anh Nguyen,SAMANTHA BAO ANH NGUYEN,False,,,#F8BD0E
3133,10087,Bethany Huang,BETHANY HUANG,False,,,#F8BD0E
3133,10091,Douglas Euper,DOUGLAS EUPER,False,,,#32AB34
3133,10170,Cyril Yu,CYRIL YU,False,,,#1096bf
3133,10375,Sidney Wu,SIDNEY WU,False,,,#C7084D
3135,9833,Paul Bokota,*PAUL BOKOTA,True,,,#F8BD0E
3135,9904,Demetra Arvanitidis,DEMETRA ARVANITIDIS,False,,,#32AB34
3142,9813,Amy Kramer,AMY KRAMER,False,,,#F8BD0E
3142,9858,Jan Vickers,*JAN VICKERS,True,,,#e47300
3142,10070,Sheri Morgan,SHERI MORGAN,False,,,#C7084D
3142,10122,Kelly Osborne,KELLY OSBORNE,False,,,#1096bf
3142,10130,Howard Hills,HOWARD HILLS,False,,,#32AB34
3152,9860,Paurvi Trivedi,PAURVI TRIVEDI,False,,,#C7084D
3152,9867,Chris Forehan,CHRIS FOREHAN,False,,,#32AB34
3152,9986,Jody L. Roubanis,JODY L. ROUBANIS,False,,,#F8BD0E
3155,9809,Meg Cutuli,*MEG CUTULI,True,,,#32AB34
3155,10353,Matt Filler,MATT FILLER,False,,,#F8BD0E
3161,9898,Vicki Snell,*VICKI SNELL,True,,,#F8BD0E
3161,9911,Leah Ersoylu,LEAH ERSOYLU,False,,,#32AB34
3163,9832,Carol Crane,CAROL CRANE,False,,,#F8BD0E
3163,9944,Charles Kent Booker,CHARLES KENT BOOKER,False,,,#32AB34
3166,9797,Krista Weigand,KRISTA WEIGAND,False,,,#C7084D
3166,9873,Amy Peters,AMY PETERS,False,,,#F8BD0E
3166,10158,Xeno Ralf Muller Ii,XENO RALF MULLER II,False,,,#32AB34
3166,10378,Alexis Zavouris,ALEXIS ZAVOURIS,False,,,#1096bf
3172,9903,John Ortega,*JOHN ORTEGA,True,,,#F8BD0E
3172,9927,Tiger Kennedy Cosmos,TIGER KENNEDY COSMOS,False,,,#32AB34
3173,9787,Alexia Deligianni-Brydges,*ALEXIA DELIGIANNI-BRYDGES,True,,,#32AB34
3173,10065,Ana Page,ANA PAGE,False,,,#F8BD0E
3176,9853,Carrie Lundell,CARRIE LUNDELL,False,,,#F8BD0E
3176,9888,Alex Munoz,ALEX MUNOZ,False,,,#C7084D
3176,10273,April Braswell,APRIL BRASWELL,False,,,#32AB34
3176,10305,Angie Schlueter-Rumsey,ANGIE SCHLUETER-RUMSEY,False,,,#1096bf
3181,9795,Eric Padget,*ERIC PADGET,True,,,#F8BD0E
3181,9851,Paoling Guo,PAOLING GUO,False,,,#32AB34
3181,10040,Shawn Youngblood,SHAWN YOUNGBLOOD,False,,,#C7084D
3182,9929,Lashe Rodriguez,LASHE RODRIGUEZ,False,,,#C7084D
3182,10068,Joshua Correa,JOSHUA CORREA,False,,,#F8BD0E
